"","Data Series","Total Electronic Products","Integrated Circuits","Parts Of Personal Computer","Disk Drives","Telecommunications Equipment","Consumer Electronics","Personal Computers","Parts Of Integrated Circuits","Diodes And Transistors","Non-Electronic Products","Electrical Circuit Apparatus","Electrical Machinery & Apparatus Nes"
"...201","2008 May","9136921","4948393","1064495.4","134854.9","878425.5","507490.9","134544.8","151360.5","851294.4","3424032.7","271628.6","249397.4"
"...202","2008 Apr","9611510.5","5072911.3","1365973.9","136600.6","1015636.6","511194.4","140909","164442.5","684199.6","3539774.9","293134.1","250478.8"
"...203","2008 Mar","9370125.7","5236385","1175555.3","153931.9","840134.5","512829.3","170281","134749.4","639392.5","3480368","279999.6","233925.6"
"...204","2008 Feb","8837169.1","5060404.2","1084691.3","119395.4","812598.5","412436.8","146485","136113.9","627652.5","2895909.9","244730.8","203978.9"
"...205","2008 Jan","10351168.6","5545424.1","1341933","189720.8","1070987.4","484998.9","153037.5","241766.9","778296.4","3758877.7","329712","260308.9"
"...206","2007 Dec","9207377.7","4982702.3","1195328","146585.5","926618","417757.4","139966.1","206033.1","705775.6","3119841.9","295664.3","225777.3"
"...207","2007 Nov","9675941.8","5402772.3","1150149.5","166193.5","994497.9","478518.9","128272","178739.2","670912.1","3131026.4","277186.1","247814.2"
"...208","2007 Oct","10281574.9","5873005.7","1095137.9","158894.6","1034445.7","512589.8","123521.9","240549.2","671708.2","3175189.5","299047.9","265571"
"...209","2007 Sep","9858343","5626513.3","1152982.3","143643.4","953304.4","454234.4","117820.4","195853.1","695453.7","3157084","294041.9","261067"
"...210","2007 Aug","9995912","5369418.3","1258307","181685.1","1144947.5","459811.2","137084.5","199071.4","685520.8","3389430.4","319355.3","267002.6"
"...211","2007 Jul","9683228.4","5258658.7","1133996.6","208835.7","1103151.8","394198.1","120075.3","194722","733747.9","3717307.3","303211.7","265684.8"
"...212","2007 Jun","9625775.8","5074314.9","1301721.9","274922.8","1134563.5","397852.2","125264.7","191573.3","654721.1","3208458.4","285495.2","279878.8"
"...213","2007 May","8611032.2","4627187.4","1168984.6","210109.5","825576.2","366763.6","105014.1","183258.1","666667.1","2791969.1","259584.1","226327.4"
"...214","2007 Apr","9328872.5","4831764.6","1246458.4","235935.5","1058397.8","389152.2","118296.8","218907.2","555903.9","2942672.7","263877.9","240371.2"
"...215","2007 Mar","10001429.4","5507495.3","1184364.2","233941.1","1120496.8","431930.1","135710.8","283165.7","560992.6","3210884.1","271192.6","260470.3"
"...216","2007 Feb","8308978.9","4482652.5","1195541.9","216655","843290.9","326945.5","109812.8","207443.3","494630.8","2461989.8","231572.6","215361.2"
"...217","2007 Jan","9620917.7","5194299.1","1159665.2","228542.2","1017063.4","386099.5","139714.3","366413.4","616184.6","3194198.4","284798.5","245049"
"...218","2006 Dec","9900486.7","5398521.3","1157754.6","257361.4","1279470.6","448708.8","117928.1","165533.3","582261.3","3349070.5","255071.1","252949.5"
"...219","2006 Nov","9751995.1","5325617.4","1117770.4","287865.2","1199262.8","455541.2","114726.5","204018.6","532099.7","2937773","291927.2","280287.9"
"...220","2006 Oct","10241855.3","5666178","1171568.4","489460.6","1036116.1","465472.4","113312.9","239756.9","518441.4","2689676.6","267928.7","262957.6"
"...221","2006 Sep","10836510.8","6053561.5","1191738.2","481681.6","1148659.5","494297.8","136593.8","240028.3","562730.5","2747666.7","283849.1","278591"
"...222","2006 Aug","9819717.9","5547387.6","1175922.5","287489.1","905777.9","461731.1","128224.2","224806.2","570597.1","3196378.3","294752.2","302930.6"
"...223","2006 Jul","9142477.4","4987043.7","1366104.4","223528.9","816466.6","445832.6","104721.6","188225.9","515163.5","3009411.1","291449.4","284151.7"
"...224","2006 Jun","9742495.2","5866751.7","1025461.5","267307","864251.9","473369.1","125113.8","194464.2","486595.1","2959808.4","294965.4","275011.1"
"...225","2006 May","8720958","4994363.5","1066896.7","230527.4","765345.6","453316.7","93589.2","174060.4","501032","3226592.7","307073.3","269537.7"
"...226","2006 Apr","8813881.6","5192864.2","1023453.5","234629.5","700202.9","451902.8","97306","159501.7","494467.3","2755323.3","268929.8","264585.6"
"...227","2006 Mar","9900771.7","5636753","1169406.5","295162.4","921367.5","561017.8","119670.1","161918.8","526957.3","3095222.3","305136","285089.6"
"...228","2006 Feb","8545460.8","4746197.7","1054246.1","266417.9","826398.4","440909.2","86610.4","161154.1","471628.6","2483182.6","276577.8","243090.1"
"...229","2006 Jan","8652668","4744791.8","1183450.5","248884.2","834165.1","417177.3","93132.7","147429.9","503485.3","2319456.2","287352.3","246842.4"
"...230","2005 Dec","9689165.3","5310907.6","1047246","318364.5","1035970.1","632445.8","108561.4","197777.1","529957.9","2871268.6","273726.7","265680.2"
"...231","2005 Nov","9261457.2","5280057.7","1035066.2","300249.3","850483.7","494127.2","92288.1","181368.8","507354.4","2693936.9","253097.7","264739.4"
"...232","2005 Oct","9376926.6","5201127.7","1120991.9","257719.3","839875.1","573164","108429.2","193217.8","565318.5","2651975.6","279642.4","280019.8"
"...233","2005 Sep","8867095.2","4916244.4","1023149.2","317839.4","784706.8","516330.3","87221.5","206995.4","541989.7","2564830","268759.4","268820.3"
"...234","2005 Aug","8555906.5","4606969.5","1028346.7","246257.4","869253.2","496691.5","101569.6","253494.9","515447.5","2779845.2","277616.9","269950"
"...235","2005 Jul","8153815","4350235.5","949172.8","247069","882500.8","454840.4","99511.9","173609.5","538443.7","2651332.8","264146.2","242681.4"
"...236","2005 Jun","7772260.3","4116395.2","857403","247625","942928.6","453432","98827","103363.1","504618.7","2427721.7","268964.5","248429.3"
"...237","2005 May","7873704.4","4279269.1","801825.7","226250.3","1011640.6","467313.6","77794.9","144647.3","483736","2562777","233019","232177.8"
"...238","2005 Apr","7793255.5","3868210.8","870502","268299.4","1096007.4","534364.6","110777.2","134520.4","518966.8","2550018.4","237443.4","233584"
"...239","2005 Mar","8051421.2","4231546.1","771712.6","282119.8","1053531.7","531460","105696.9","138783.1","503856.4","2597175.5","251433","252953.5"
"...240","2005 Feb","6192306.3","3226656.7","562024.7","197034.4","800204.4","435350.6","83690.4","130822.8","419140","2134763.7","182790.3","195821.7"
